No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
16,TULUA,CALIMA ,El Mirador,1,73,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,I.E. Pablo Sexto sede principal,59612,6/02/2024,2024,UES,Cristian Amaris - Principal
17,CALI,PRADERA,Arenillo,1,66,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,I.E. Mercedes Abrego sede Simbad Arturo Bueno,,9/02/2024,2024,UES,Cristian Amaris - Principal
18,CALI,DAGUA , Cauchal,43,207,Viviendas,EKOFIL,Consejo comunitario ,Consejo comunitario ,Casa Comunal ,,13/02/2024,2024,FGA,Adriana Mosquera - Celsia
19,CALI,DAGUA ,Danubio ,23,104,Viviendas,EKOFIL,Consejo comunitario ,Consejo comunitario ,Escuela ,,13/02/2024,2024,FGA,Adriana Mosquera - Celsia
20,CALI,FLORIDA,El Llanito,1,78,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede principal,,16/02/2024,2024,UES,Cristian Amaris - Principal
21,CALI,BUENAVENTURA,Barrio San Francisco,1,47,Institucion Educativa ,LIFESTRAW,Estudiantes  - Comunidad Afro,Desplazados por violencia (Interna),I.E. Francisco y Clara de Asis ,,24/02/2024,2024,UES,Cristian Amaris - Principal
22,CALI,PRADERA,Arenillo,57,243,Viviendas,EKOFIL,Desplazados Por Violencia ,Desplazados por violencia ,Casa Comunal,,5/03/2024,2024,UES,Cristian Amaris - Principal
23,CALI,FLORIDA,La Union ,1,10,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Cartagena de Indias,,21/03/2024,2024,UES,Cristian Amaris - Principal
24,CALI,FLORIDA,Tamboral,1,22,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Tamboral,,21/03/2024,2024,UES,Cristian Amaris - Principal
25,CALI,FLORIDA,Puerto Nuevo ,1,20,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Maria Auxiliadora,,21/03/2024,2024,UES,Cristian Amaris - Principal
26,CALI,FLORIDA,San Joaquin ,1,25,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede San Joaquin ,,21/03/2024,2024,UES,Cristian Amaris - Principal
27,CALI,FLORIDA,Cañadas Arriba,1,10,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba - sede Camilo Torres ,,21/03/2024,2024,UES,Cristian Amaris - Principal
28,CALI,GUACARI,Alto Magladalena ,1,14,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. General Santander sede Hebert Marino Saavedra,,22/03/2024,2024,UES,Javier Grueso - Principal 
29,CALI,GUACARI,Alto Magladalena ,1,12,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. General Santander sede Virgen de Fatima,,22/03/2024,2024,UES,Javier Grueso - Principal 
30,CALI,GUACARI,Chafalote,1,24,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. General Santander sede San Roque ,,22/03/2024,2024,UES,Javier Grueso - Principal 
31,CALI,BUENAVENTURA,Resguardo indigena Wounan Nonan,56,257,Viviendas,EKOFIL,Cabildo Indigena ,Cabildo indigena ,Resguardo Wounan Nonan,,4/04/2024,2024,FGA,Vanessa Santamaria - Celsia
32,CALI,BUENAVENTURA,San Cipriano,22,110,Viviendas,EKOFIL,Consejo Comunitario - Comunidad Afro,Consejo comunitario ,Casa Comunal JAC ,,30/05/2024,2024,FGA,Diana Valencia - Celsia 
33,CALI,BUENAVENTURA,Barrio Miramar,40,163,Viviendas,EKOFIL,Junta De Accion Comunal - Comunidad Afro,Consejo comunitario ,Casa Comunal JAC,,31/05/2024,2024,FGA,Diana Valencia - Celsia 
34,CALI,LA CUMBRE,La Guaira,32,111,Viviendas,EKOFIL,Campesinos ,NA,Escuela ,,19/06/2024,2024,FGA,Gabriela Rojas - Celsia
35,TULUA,RIOFRIO,El Carmen,33,124,Viviendas,EKOFIL,Campesinos ,NA,Caseta,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
36,TULUA,RIOFRIO,Salonica,17,71,Viviendas,EKOFIL,Campesinos,NA,Alcaldia municipal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
37,TULUA,RIOFRIO,Corozal - El Rubi,19,79,Viviendas,EKOFIL,Campesinos,NA,Caseta Comunal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
38,TULUA,RIOFRIO,Puerto Fenicia ,8,29,Viviendas,EKOFIL,Campesinos ,NA,Alcaldia municipal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
39,TULUA,RIOFRIO,Volcanes,15,61,Viviendas,EKOFIL,Camoesinos ,NA,Parque principal,,26/06/2024,2024,FGA,Oscar Montoya - Celsia
40,CARTAGO,OBANDO,Villarodas,2,127,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Maris Analia Ortiz,,4/07/2024,2024,UES,Cristian Amaris - Principal
41,CARTAGO,OBANDO,Villarodas,70,214,Viviendas,EKOFIL,Campesinos,NA,I.E. Maris Analia Ortiz,,4/07/2024,2024,UES,Cristian Amaris - Principal
42,CALI,VIJES,Charco Oscuro,64,177,Viviendas,EKOFIL,Na,NA,Parque principal,,11/07/2024,2024,UES,Cristian Amaris - Principal
43,TULUA,ANDALUCIA,Union Cascajeros,61,205,Viviendas,EKOFIL,Campesinos,NA,I.E. Agricola Campo Alegre sede Santa Matilde ,,17/07/2024,2024,UES,Cristian Amaris - Principal
44,TULUA,ANDALUCIA,Union Cascajeros,1,14,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Agricola Campo Alegre sede Santa Matilde ,,17/07/2024,2024,UES,Cristian Amaris - Principal
45,TULUA,ANDALUCIA,Altaflor ,21,61,Viviendas,EKOFIL,Campesinos,NA,I.E. Jose Maria Cordoba ,,17/07/2024,2024,UES,Cristian Amaris - Principal
46,TULUA,ANDALUCIA,Altaflor,1,10,Institucion Educativa ,EKOFIL,Estudiantes ,NA,I.E. Jose Maria Cordoba ,,17/07/2024,2024,UES,Cristian Amaris - Principal
47,CALI,DAGUA ,Juntas,70,285,Viviendas,EKOFIL,Consejo Comunitario,Consejo Comunitario,Casa Comunal ,,1/08/2024,2024,FGA,Gabriela Rojas - Celsia
48,TULUA,YOTOCO,Calimita,2,16,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Arcelia Girón,141173,1/08/2024,2024,SACYR,Roger Donado - ARO Tulua 
49,CALI,DAGUA,Cisneros,30,387,Institucion Educativa ,EKOFIL,Estudiantes ,Consejo Comunitario,Institución Educativa Francisco Javier Cisneros,NA,23/08/2024,2024,SACYR,Cristian Amaris - Principal
50,CALI,DAGUA,Zabaletas,13,114,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Camilo Torres – Sede Juan del Corral,141502,6/08/2024,2024,SACYR,Jose Moreno -  ARO Cali 
51,CALI,DAGUA ,Trapiche,2,12,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Camilo Torres –Sede María Montessori,141505,8/08/2024,2024,SACYR,Cristian Amaris - Principal
52,CALI,DAGUA ,Loboguerrero,25,414,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Camilo Torres – Sede principal ,141517,8/08/2024,2024,SACYR,Cristian Amaris - Principal
53,TULUA,YOTOCO,Puente Tierra,5,276,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral,141283,15/08/2024,2024,SACYR,Roger Donado - ARO Tulua 
54,CALI,DAGUA ,El Naranjo,4,180,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa San Pedro Clavel Sede Principal,141256,23/08/2024,2024,SACYR,Diego Sanchez -  ARO Cali 
55,TULUA,YOTOCO,Muñecos,2,19,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Santo Tomas de Aquino,141284,,2024,SACYR,Roger Donado - ARO Tulua 
56,TULUA,YOTOCO,El Bosque ,2,65,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa San Juan Bosco - Sede Diego Renato Salazar,138485,,2024,SACYR,Roger Donado - ARO Tulua 
57,TULUA,YOTOCO,Buenos Aires ,1,7,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Camilo Torres,141302,,2024,SACYR,Roger Donado - ARO Tulua 
58,TULUA,YOTOCO,Colorados ,1,9,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Manuela Beltrán,141304,,2024,SACYR,Roger Donado - ARO Tulua 
59,TULUA,YOTOCO,Cordobitas ,1,12,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede José María Cordoba,141282,,2024,SACYR,Roger Donado - ARO Tulua 
60,TULUA,YOTOCO,El Caney,1,,Institucion Educativa ,EKOFIL,Estudiantes,NA,Institución Educativa Gabriela Mistral sede Nuestra Señora de Fatima,141459,18/10/2024,2024,SACYR,Roger Donado - ARO Tulua 
61,TULUA,YOTOCO,Delirio ,1,15,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa San Juan Bosco - Sede Carlos Alfonso Gil,141381,,2024,SACYR,Roger Donado - ARO Tulua 
62,TULUA,YOTOCO,Jiguales,3,23,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Vicente H. Cruz,138454,22/08/2024,2024,SACYR,Roger Donado - ARO Tulua 
63,CALI,BUENAVENTURA,Umanes Mar ,1,168,Institucion Educativa ,LIFESTRAW,Estudiantes ,Consejo Comunitario,Institución Educativa Gabriela Mistral sede San Martin,,14/08/2024,2024,FGA,Alejandra Restrepo - FGA
64,CALI,BUENAVENTURA,San Jose De Anchicaya,1,76,Institucion Educativa ,LIFESTRAW,Estudiantes ,Consejo Comunitario,I.E. Silvano Caicedo Giron ,,14/08/2024,2024,FGA,Alejandra Restrepo - FGA
65,CALI,GUACARI,Pomares ,28,112,Viviendas,EKOFIL,Campesinos ,Desplazos por violencia ,Casa Comunal ,,23/08/2024,2024,FGA,Oscar Montoya - Celsia
66,TULUA,SAN PEDRO,Buenos Aires ,55,220,Viviendas,EKOFIL,Campesinos ,NA,Coliseo del corregimiento ,,24/08/2024,2024,FGA,Oscar Montoya - Celsia
67,CALI,EL CERRITO,Albecia,35,118,Viviendas,EKOFIL,Campesinos,NA,I.E. Herando Borrero Cuadros sede Mercedes Abrego,,27/08/2024,2024,UES,Cristian Amaris - Principal
68,CARTAGO,VERSALLES,Campo Alegre,1,35,Institucion Educativa ,LIFESTRAW,Estudiantes,Cabildo indigena ,I.E. La Inmalucada sede Simos Bolivar ,,9/03/2024,2024,UES,Cristian Amaris - Principal
69,CALI,DAGUA ,Cisneros,4,90,Institucion Educativa ,EKOFIL,Estudiantes ,Consejo Comunitario,Institución Educativa San Pedro Claver - Genral Carlos Alban,141263,23/08/2024,2024,SACYR,Diego Sanchez -  ARO Cali 
70,CARTAGO,EL AGUILA,Villa Nueva,1,126,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Jose Maria Cordoba ,,18/09/2024,2024,FGA,Yustin Valencia - Celsia
71,CARTAGO,EL AGUILA,San Jose Cordoba,1,66,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Santa Isabel ,,18/09/2024,2024,FGA,Yustin Valencia - Celsia
72,CALI,GINEBRA,Portugal Bajo ,17,59,Viviendas,EKOFIL,Campesinos ,Desplazos por violencia ,Casa Lider,,19/09/2024,2024,UES,Cristian Amaris - Principal
73,TULUA,ANDALUCIA,Peñon Alto ,31,124,Viviendas,EKOFIL,,,,,16/07/1905,2024,FGA,Yustin Valencia - Celsia
74,TULUA,BUGALAGRANDE,San Isidro,32,128,Viviendas,EKOFIL,,,,,16/07/1905,2024,FGA,Yustin Valencia - Celsia
75,TULUA,RIOFRIO,La Zulia,1,105,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Camilo Torres,,23/09/2024,2024,FGA,Oscar Montoya - Celsia
76,TULUA,RIOFRIO,Fenicia ,1,116,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Nemesio Rodriguez sede Las Amaericas,,23/09/2024,2024,FGA,Oscar Montoya - Celsia
77,CARTAGO,LA UNION,Despensitas - Jardin Ojedas - Paramillo,29,93,Viviendas,EKOFIL,Campesinos,NA,Institucion Educativa ,,10/04/2024,2024,UES,Marco Gonzales - ARO Cartago
78,CARTAGO,OBANDO,Buenos Aires ,32,96,Viviendas,EKOFIL,,,,,18/10/2024,2024,UES,Ana Mendez - ARO Cartago
79,CARTAGO,EL CAIRO,La Miranda - La Guardia,35,97,Viviendas,EKOFIL,,,,,17/10/2024,2024,UES,Edward Jaimes - ARO Cartago
80,CARTAGO,EL DOVIO,Alto Miranda,11,39,Viviendas,EKOFIL,,,,,19/10/2024,2024,UES,Marco Gonzales - ARO Cartago
81,CARTAGO,EL AGUILA,La Judea,56,148,Viviendas,EKOFIL,Campesinos,NA,Casa Comunal,,10/11/2024,2024,UES,Sair Renteria - ARO Cartago
82,CALI,BUENAVENTURA,Umanes Mar - San Jose Anchicaya,250,855,Viviendas,EKOFIL,Pescadores y campesinos,Concejo Comunitario,Institucion Educativa,,22/10/2024,2024,FGA,Jane Carolina - Celsia
83,CALI,BUENAVENTURA,Barrio El Futuro,50,176,Viviendas,EKOFIL,NA,Comunidad Afro - JAC ,Casa Comunal ,,19/11/2024,2024,FGA,Lucrecia Vargas - Celsia
84,TULUA,CALIMA,Gaviota Alta ,29,88,Viviendas,EKOFIL,Campesinos,NA,,104566,26/11/2024,2024,FGA,Jimena Lizarazo - Celsia
85,CALI,BUENAVENTURA,Antonio Nariño - Bureau Veritas - Pampalinda - Porvenir - San Martin,310,1386,Viviendas,EKOFIL,NA,Comunidad Afro - JAC ,,,3/12/2024,2024,FGA,Rocio Quiñonez - Celsia 
86,TULUA,SEVILLA,El Jardin,1,8,Institucion Educativa ,EKOFIL,,,IE JORGE ELIECER GAITAN SEDE SANTA CATALINA (D.I),276736000411,5/06/2025,2025,FGA,Yustin Valencia - Celsia
87,TULUA,SEVILLA,El Jardin + I.E.,18,72,Viviendas,EKOFIL,,,,,5/06/2025,2025,FGA,Yustin Valencia - Celsia
88,TULUA,SEVILLA,El Purnio,1,8,Institucion Educativa ,EKOFIL,,,I.E. SANTA TERESITA SEDE RODRIGO DE BASTIDAS,276736000402,5/06/2025,2025,FGA,Yustin Valencia - Celsia
89,TULUA,SEVILLA,El Purnio + I.E.,19,76,Viviendas,EKOFIL,,,,,5/06/2025,2025,FGA,Yustin Valencia - Celsia
90,CARTAGO,ARGELIA,Tarritos,1,12,Institucion Educativa ,EKOFIL,Campesinos,,IE SANTIAGO GUTIERREZ ANGEL SEDE EL CARMEN,276054000184,17/07/1905,2025,FGA,Yustin Valencia - Celsia
91,CARTAGO,ARGELIA,Tarritos,39,156,Viviendas,EKOFIL,Campesinos,,,,17/07/1905,2025,FGA,Yustin Valencia - Celsia
92,CARTAGO,ARGELIA,Maracaibo,1,4,Institucion Educativa ,EKOFIL,Campesinos,,I.E SANTIAGO GUTIERREZ ANGEL SEDE SANTA HELENA,276054000214,17/07/1905,2025,FGA,Yustin Valencia - Celsia
93,CARTAGO,ARGELIA,Maracaibo,46,184,Viviendas,EKOFIL,Campesinos,,,,17/07/1905,2025,FGA,Yustin Valencia - Celsia
94,CALI,BUENAVENTURA,Barrio Doña Ceci,2,30,Institucion Educativa ,EKOFIL,Adulto mayor,Comunidad Afro ,Ancianato San José,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
95,CALI,BUENAVENTURA,Barrio El Jorge,20,1537,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Francisco José de Caldas,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
96,CALI,BUENAVENTURA,Barrio El Jorge,4,90,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Francisco José de Caldas,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
97,CALI,BUENAVENTURA,Barrio Doña Ceci,12,384,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Nuestra señora consoladora del Carpinello,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
98,CALI,BUENAVENTURA,Pr 23 - Sector La Esperanza,2,12,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Empresa Kinsia Té,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
99,CALI,BUENAVENTURA,Barrio La Transformación,15,1270,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Termarit sede principal,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
100,CALI,BUENAVENTURA,Barrio El Progreso,6,90,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Termarit sede el progreso,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
101,CALI,BUENAVENTURA,Barrio Doña Ceci,20,1200,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa San Vicente,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
102,CALI,BUENAVENTURA,Barrio Transformación,30,1265,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Liceo Del Pacífico,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
103,CALI,BUENAVENTURA,Barrio El Cristal,20,2513,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Normal Juan Ladrellero,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
