ID_SEDE_IRCA;COD_DANE;MUNICIPIO_BASE;NOMBRE_SEDE_BASE;MEN_COINCIDE;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_TOTAL_MATRICULA;MEN_LATITUD;MEN_LONGITUD;MEN_COORDENADA_VALIDA;USO_COORDENADA_MEN;USO_MATRICULA_MEN
108;276845000102;ULLOA;I.E MARÍA INMACULADA SEDE MARIA INMACULADA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MARIA INMACULADA;MARIA INMACULADA;225;4.71;-75.77;SI;NO;NO
109;276020000045;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE FRANCISCO DE PAULA SANTANDER;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.947;;;;0;;;NO;NO;NO
110;276020000118;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE CRISTOBAL COLON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932;;;;0;;;NO;NO;NO
111;276606000451;VIJES;I.E. 20 DE JULIO SEDE GUILLERMO VALENCIA;NO;SIN_COINCIDENCIA_FUERTE;0.789;;;;0;;;NO;NO;NO
112;276869000294;VIJES;I.E. ANTONIO JOSE DE SUCRE SEDE VICTOR HUMBERTO BARRERA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932;;;;0;;;NO;NO;NO
113;276869000201;VIJES;I.E. ANTONIO JOSE DE SUCRE SEDE MARIANO OSPINA PEREZ;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
114;276606000435;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE ISABEL NAGETH ARIZA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;I.E. TEODORO MUNERA HINCAPIE;ISABEL NAGETH ARIZA;16;3.79;-76.48;SI;NO;NO
115;276890000121;YOTOCO;I.E. GABRIELA MISTRAL SEDE CAMILO TORRES;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
116;276890000440;YOTOCO;I.E. GABRIELA MISTRAL SEDE  ARCELIA GIRON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
117;276306000166;GINEBRA;I.E. MANUELA BELTRAN SEDE JOAQUIN CAMILO TORRES;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
118;276869000243;VIJES;I.E. ANTONIO JOSE DE SUCRE SEDE LA PEDRERA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
119;276869000073;VIJES;I.E. ANTONIO JOSE DE SUCRE SEDE JUAN JOSE RONDON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
120;276869000146;VIJES;I.E. ANTONIO JOSE DE SUCRE SEDE ATANASIO GIRARDOT;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
121;276248000100;EL CERRITO;I.E. HERNANDO BORRERO CUADROS SEDE MANUELA BELTRAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
122;276828000441;TRUJILLO;CONCENTRACION MANUEL MARIA MALLARINO FECOOP;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MANUEL MARIA MALLARINO;MANUEL MARÍA MALLARINO;342;4.21;-76.31;SI;NO;NO
123;276845000021;ULLOA;I.E MARIA INMACULADA SEDE ESTHER ZORRILLA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
124;276233000219;DAGUA;I.E. EL PALMAR SEDE ALFREDO VASQUEZ COBO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE EL PALMAR;ALFREDO VASQUEZ COBO;13;0.0;0.0;NO;NO;NO
125;276233000472;DAGUA;I.E. EL PALMAR SEDE MARIO FERNANDEZ DE SOTO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE EL PALMAR;MARIO FERNANDEZ DE SOTO;29;3.62;-76.66;SI;NO;NO
126;276041001041;ANSERMANUEVO;I.E JORGE ISAAC SEDE MANUELA BELTRAN;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JORGE ISAACS;MANUELA BELTRAN;31;4.82;-76.09;SI;NO;NO
127;276041000371;ANSERMANUEVO;I.E JORGE ISAAC SEDE JORGE ISAAC;SI;COINCIDENCIA_NOMBRE_FUERTE;0.9;2.019;IE JORGE ISAACS;JORGE ISAACS;117;4.82;-76.09;SI;NO;NO
128;276306000247;GINEBRA;I.E. MANUELA BELTRAN SEDE NUESTRA SEÑORA DEL CARMEN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
129;276306000409;GINEBRA;I.E. MANUELA BELTRAN SEDE ESTELIA QUINTERO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MANUELA BELTRAN;MANUELA BELTRAN;352;3.73;-76.27;SI;NO;NO
130;276243000047;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE SEBASTIÁN DE BELARCAZAR;SI;COINCIDENCIA_NOMBRE_FUERTE;0.913;2.019;IE JUSTINIANO ECHAVARRIA;SEBASTIAN DE BEL ALCAZAR;11;4.96;-76.06;SI;NO;NO
131;276243000357;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE SANTA ISABEL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JUSTINIANO ECHAVARRIA;SANTA ISABEL;87;0.0;0.0;NO;NO;NO
132;276036000274;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE SANTA MATILDE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
133;276036000207;ANDALUCÍA;I.E. AGRICOLA CAMPOALEGRE SEDE JOSE MARIA CORDOBA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
134;276736000437;SEVILLA;IE SANTA TERESITA SEDE LA MAGDALENA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.98;;;;0;;;NO;NO;NO
135;276823000125;TORO;I.E TECNICO AGROPECUARIO TORO SEDE CRISTOBAL COLON;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE  TECNICA AGROPECUARIA TORO;CRISTOBAL COLON;50;4.59;-76.14;SI;NO;NO
136;276863000381;VERSALLES;INSTITUCION EDUCATIVA HOLGUIN SARDI SEDE PROSPERO PINZON;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE CARLOS HOLGUIN SARDI;PROSPERO PINZON;32;4.63;-76.14;SI;NO;NO
137;276318000153;GUACARÍ;I.E. GENERAL SANTANDER SEDE LOS LULOS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
138;276318000099;GUACARÍ;I.E. GENERAL SANTANDER SEDE GENERAL SANTANDER;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE GENERAL SANTANDER;GENERAL SANTANDER;173;3.77;-76.23;SI;NO;NO
139;;SAN PEDRO;I. E JULIO CAICEDO TELLEZ PRINCIPAL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JULIO CAICEDO TELLEZ;JULIO CAICEDO TELLEZ;76;3.96;-76.17;SI;SI;NO
140;276497000179;OBANDO;I.E SAN JOSE SEDE SAN JUAN BOSCO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
141;;OBANDO;I.E POLICARPA SALAVARRIETA BACHILLER;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE POLICARPA SALAVARRIETA;POLICARPA SALAVARRIETA;84;4.56;-75.9;SI;SI;NO
142;;OBANDO;I.E POLICARPA SALAVARREITA SEDE PRIMARIA;NO;SIN_COINCIDENCIA_FUERTE;0.759;;;;0;;;NO;NO;NO
143;276041000169;ANSERMANUEVO;I.E SANTA INES SEDE SAN JUAN BOSCO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
144;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE FRANCISCO DE PAULA SANTANDER;NO;POSIBLE_COINCIDENCIA_REVISAR;0.873;;;;0;;;NO;NO;NO
145;276497000063;OBANDO;I.E SAN JOSE SEDE ANTONIA SANTOS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
146;276890000288;YOTOCO;I.E. SAN JUAN BOSCO SEDE NUESTRA SEÑORA DEL CARMEN;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SAN JUAN BOSCO;SAN JUAN BOSCO;251;3.96;-76.41;SI;NO;NO
147;276100000283;BOLIVAR;ESCUELA CARTAGENA DE INDIAS N.14;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MANUEL DOLORES MONDRAGON;CARTAGENA DE INDIAS;12;4.28;-76.21;SI;NO;NO
148;276122000465;CAICEDONIA;I.E RURAL CAICEDONIA SEDE ANTONIA SANTOS;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE ANTONIA SANTOS;ANTONIA SANTOS;74;4.29;-75.82;SI;NO;NO
149;276606000265;RESTREPO;I.E JOSE ACEVEDO Y GOMEZ SEDE CRISTOBAL COLON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
150;276616000581;RIOFRIO;COLEGIO HERNANDO LLORENTE;NO;SIN_COINCIDENCIA_FUERTE;0.694;;;;0;;;NO;NO;NO
151;276616000212;RIOFRIO;ESCUELA N. 6 JOSE MARIA CORDOBA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE HERNANDO LLORENTE ARROYO;JOSE MARIA CORDOBA;110;4.14;-76.36;SI;NO;NO
152;276616000239;RIOFRIO;ESCUELA N. 7 MERCEDES ABREGO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE HERNANDO LLORENTE ARROYO;MERCEDES ABREGO;121;4.13;-76.37;SI;SI;NO
153;276845000056;ULLOA;I.E MARIA INMACULADA SEDE POLICARPA SALAVARRIETA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.933;;;;0;;;NO;NO;NO
154;276250000044;EL DOVIO;I.E JOSE MARIA FALLA SEDE BENJAMIN PEREA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
155;276250000371;EL DOVIO;I.E ACERG SEDE LUIS ZULUAGA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE ACERG;LUIS ZULUAGA;8;4.52;-76.21;SI;NO;NO
156;276233000499;DAGUA;I.E. MIGUEL ANTONIO CARO SEDE MANUEL MEJIA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
157;276736000151;SEVILLA;I.E. JORGE ELIECER GAITAN SEDE SANTA ANA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
158;176233000036;DAGUA;I.E. GIMNASIO DEL DAGUA SEDE ANTONIO RICAURTE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
159;176233001016;DAGUA;I.E. GIMNASIO DEL DAGUA SEDE INDALECIO LIEVANO AGUIRRE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
160;176233000061;DAGUA;I.E. GIMNASIO DEL DAGUA SEDE SANTA LUCIA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
161;176233000044;DAGUA;I.E. GIMNASIO DEL DAGUA SEDE ANTONIA SANTOS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
162;176233000656;DAGUA;I.E. GIMNASIO DEL DAGUA SEDE PRINCIPAL;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
163;276246000145;EL CAIRO;IE LA PRESENTACION SEDE FRANCISCO DE PAULA SANTANDER;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.98;;;;0;;;NO;NO;NO
164;276890000458;YOTOCO;I.E. SAN JUAN BOSCO SEDE CARLOS ALFONSO GIL;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
165;276243000284;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE RICARDO NIETO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JUSTINIANO ECHAVARRIA;RICARDO NIETO;11;4.96;-76.08;SI;NO;NO
166;276306000336;GINEBRA;I.E. DE DESARROLLO RURAL LA SELVA SEDE CONCENTRACION DE DESARROLLO RURAL LA SELVA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.955;2.019;IE DE DESARROLLO RURAL LA SELVA;CONCENTRACION DE DESARROLLO RURAL LA SELVA;139;3.75;-76.21;SI;SI;NO
167;276306000191;GINEBRA;I.E. DE DESARROLLO RURAL LA SELVA SEDE ANTONIO RICAURTE;SI;COINCIDENCIA_NOMBRE_FUERTE;0.932;2.019;IE DE DESARROLLO RURAL LA SELVA;ANTONIO RICAURTE;62;3.75;-76.2;SI;NO;NO
168;176054000023;ARGELIA;I.E GILBERTO ALZATE AVENDAÑO SEDE GILBERTO ALZATE AVENDAÑO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.937;2.019;IE GILBERTO ALZATE AVENDAÑO.;GILBERTO ALZATE AVENDAÑO;355;4.73;-76.12;SI;NO;NO
169;176054000163;ARGELIA;I.E GILBERTO ALZATE AVENDAÑO SEDE FABIO MARTINEZ CIFUENTES;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.937;;;;0;;;NO;NO;NO
170;;ARGELIA;I.E GILBERTO ALZATE AVENDAÑO SEDE MANUEL MEJIA VELEZ;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
171;276828000905;TRUJILLO;ESCUELA N. 48 STA LUCIA;NO;SIN_COINCIDENCIA_FUERTE;0.647;;;;0;;;NO;NO;NO
172;;OBANDO;I.E MARIA ANALIA ORTIZ HORMANZA BACHILLERATO;NO;SIN_COINCIDENCIA_FUERTE;0.764;;;;0;;;NO;NO;NO
173;;OBANDO;I.E MARIA ANALIA ORTIZ HORMANZA SEDE PRIMARIA;NO;SIN_COINCIDENCIA_FUERTE;0.778;;;;0;;;NO;NO;NO
174;;TORO;I.E TECNICA AGROPECUARIA NUESTRA SEÑORA DE FATIMA (PRIMARIA);SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE  TECNICA AGROPECUARIA TORO;NUESTRA SEÑORA DE FATIMA;299;4.68;-76.04;SI;SI;NO
175;276823000061;TORO;IE AGROPECUARIA SEDE NUESTRA SEÑORA DE FATIMA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE  TECNICA AGROPECUARIA TORO;NUESTRA SEÑORA DE FATIMA;299;4.68;-76.04;SI;NO;NO
176;176246000337;EL CAIRO;I.E LA PRESENTACION;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE LA PRESENTACION;LA PRESENTACIÓN;236;4.76;-76.22;SI;NO;NO
177;176246000027;EL CAIRO;I.E GILBERTO ALZATE AVENDAÑO SEDE GILBERTO ALZATE AVENDAÑO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.945;2.019;IE GILBERTO ALZATE AVENDAÑO;GILBERTO ALZATE AVENDAÑO;133;4.76;-76.22;SI;NO;NO
178;;EL CAIRO;I.E GILBERTO ALZATE AVENDAÑO SEDE CENTRO (PRIMARIA);SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE GILBERTO ALZATE AVENDAÑO;GILBERTO ALZATE AVENDAÑO;133;4.76;-76.22;SI;SI;NO
179;176246000311;EL CAIRO;I.E LA PRESENTACIÓN SEDE BOLIVARIANA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
180;276233000111;DAGUA;I.E. SAN PEDRO CLAVER SEDE GENERAL CARLOS ALBAN;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;I.E. SAN PEDRO CLAVER;GENERAL CARLOS ALBAN;64;3.78;-76.76;SI;NO;NO
181;276248000169;EL CERRITO;I.E. SANTA ELENA SEDE LA HONDA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SANTA ELENA;LA HONDA;9;3.66;-76.19;SI;NO;NO
182;276248000347;EL CERRITO;I.E. SANTA ELENA SEDE POLICARPA SALAVARRIETA;NO;SIN_COINCIDENCIA_FUERTE;0.804;;;;0;;;NO;NO;NO
183;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO-SEDE FRANCISCO JOSE DE CALDAS;NO;POSIBLE_COINCIDENCIA_REVISAR;0.851;;;;0;;;NO;NO;NO
184;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE FRANCISCO JOSE DE CALDAS-FUNDACION PRODESARROLLO COMUNITARIO;NO;SIN_COINCIDENCIA_FUERTE;0.628;;;;0;;;NO;NO;NO
185;276243000322;EL AGUILA;I.E EL AGUILA SEDE SANTA ANA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE EL AGUILA;SANTA ANA;4;4.92;-76.03;SI;NO;NO
186;276606000541;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE TEODORO MUNERA HINCAPIE;NO;SIN_COINCIDENCIA_FUERTE;0.818;;;;0;;;NO;NO;NO
187;276250000206;EL DOVIO;I.E JOSE MARIA FALLA SEDE JUAN BAUTISTA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
188;276616000123;RIOFRIO;ESCUELA ANTONIA SANTOS N. 22;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE NEMESIO RODRIGUEZ ESCOBAR;ANTONIA SANTOS;12;4.08;-76.41;SI;NO;NO
189;276243000454;EL AGUILA;I.E SANTA MARTA SEDE SANTA TERESITA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SANTA MARTA;SANTA TERESITA;18;0.0;0.0;NO;NO;NO
190;276246000137;EL CAIRO;I.E LA PRESENTACION SEDE ROSA ZARATA DE PEÑA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE LA PRESENTACION;LA PRESENTACIÓN;236;4.76;-76.22;SI;NO;NO
191;276233000197;DAGUA;I.E. BORRERO AYERBE SEDE MANUEL MURILLO TORO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE BORRERO AYERBE;MANUEL MURILLO TORO;52;3.56;-76.62;SI;NO;NO
192;276306000204;GINEBRA;I.E. INMACULADA CONCEPCION SEDE SAN JUDAS TADEO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
193;276869000308;VIJES;I.E. ANTONIO JOSE DE SUCRE SEDE PUEBLO NUEVO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
194;276869000197;VIJES;I.E. 20 DE JULIO SEDE CAMILO TORRES;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE VEINTE DE JULIO;CAMILO TORRES;4;3.75;-76.48;SI;NO;NO
195;276126000036;CALIMA;I.E. SIMON BOLIVAR SEDE NUESTRA SEÑORA DE FATIMA;NO;SIN_CANDIDATOS_MUNICIPIO;;;;;0;;;NO;NO;NO
196;276563000461;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE ATANASIO GIRARDOT;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
197;276563000193;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE FRANCISCO DE PAULA SANTANDER;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MARCO FIDEL SUAREZ;MARCO FIDEL SUAREZ;41;3.4;-76.18;SI;SI;NO
198;;EL AGUILA;I.E SANTA MARTA SEDESEDE PRINCIPAL;NO;SIN_COINCIDENCIA_FUERTE;0.678;;;;0;;;NO;NO;NO
199;276100000127;BOLIVAR;ESCUELA LA MARIA N. 29;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE LA TULIA;LA MARIA;20;4.38;-76.26;SI;NO;NO
200;176243000026;EL AGUILA;I.E SANTA MARTA SEDE JOSE MARIA CORDOBA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
201;276736000160;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE SANTA INES;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
202;276306000271;GINEBRA;I.E. DE DESARROLLO RURAL LA SELVA SEDE ANTONIO JOSE DE SUCRE;SI;COINCIDENCIA_NOMBRE_FUERTE;0.938;2.019;IE DE DESARROLLO RURAL LA SELVA;ANTONIO JOSE DE SUCRE;16;3.75;-76.18;SI;NO;NO
203;276563000169;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE BLASS DE LESSO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
204;276563000541;PRADERA;I.E. MERCEDES ABREGO SEDE SIMBAD ARTURO BUENO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;I.E. MERCEDES ABREGO;SIMBAD ARTURO BUENO;24;3.48;-76.18;SI;NO;NO
205;;VERSALLES;I.E CARLOS HOLGUIN SARDI SEDE PRINCIPAL BLOQUE 1;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE CARLOS HOLGUIN SARDI;CARLOS HOLGUIN SARDI;189;4.67;-76.23;SI;SI;NO
206;;VERSALLES;I.E CARLOS HOLGUIN SARDI SEDE PRINCIPAL BLOQUE 3;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE CARLOS HOLGUIN SARDI;CARLOS HOLGUIN SARDI;189;4.67;-76.23;SI;SI;NO
207;276497000349;OBANDO;I.E POLICARPA SALAVARRIETA SEDE ISIDORO PAOLI;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
208;276243000225;EL AGUILA;I.E SANTA MARTA SEDE SANTA CECILIA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SANTA MARTA;SANTA CECILIA;12;4.85;-76.09;SI;NO;NO
209;276233000405;DAGUA;I.E. EL QUEREMAL SEDE PIO XII;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE EL QUEREMAL;PIO XII;34;3.58;-76.71;SI;NO;NO
210;276400000137;LA UNION;I.E QUEBRADAGRANDE SEDE RICARDO NIETO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;I.E. QUEBRADAGRANDE;RICARDO NIETO;6;4.53;-76.17;SI;NO;NO
211;276400000706;LA UNION;I.E QUEBRADAGRANDE  SEDE JESUS OSIAS QUINTERO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;I.E. QUEBRADAGRANDE;JESUS OSIAS QUINTERO;19;4.53;-76.15;SI;NO;NO
212;;LA UNION;IE QUEBRADAGRANDE SEDE PRINCIPAL;NO;SIN_COINCIDENCIA_FUERTE;0.687;;;;0;;;NO;NO;NO
213;276400000111;LA UNION;IE  QUEBRADAGRANDE SEDE JOSE ACEVEDO GOMEZ;NO;POSIBLE_COINCIDENCIA_REVISAR;0.889;;;;0;;;NO;NO;NO
214;276400000102;LA UNION;I.E QUEBRADAGRANDE SEDE MERCEDES ABREGON;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;I.E. QUEBRADAGRANDE;MERCEDES ABREGO;18;4.55;-76.15;SI;NO;NO
215;276400000129;LA UNION;I.E QUEBRADAGRANDE SEDE ANTONIO JOSE DE SUCRE;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;I.E. QUEBRADAGRANDE;ANTONIO JOSE DE SUCRE;14;4.56;-76.15;SI;NO;NO
216;276400000285;LA UNION;I.E QUEBRADAGRANDE  SEDE TULIO RAMIREZ;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;I.E. QUEBRADAGRANDE;TULIO RAMIREZ;4;4.55;-76.13;SI;NO;NO
217;;LA UNION;I.E SAN JOSE SEDE SANTA CLARA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
218;;LA UNION;I.E QUEBRADAGRANDE BELISARIO CAICEDO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.986;2.019;I.E. QUEBRADAGRANDE;BELISARIO CAICEDO;31;4.55;-76.09;SI;SI;NO
219;;SEVILLA;I.E. SANTA BARBARA SEDE GENERAL SANTANDER QUEBRADA NUEVA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
220;276275001452;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE EL TAMBORAL;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
221;276275000189;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE CARTAGENA DE INDIAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
222;;EL DOVIO;I.E ACERG SEDE JUAN SALVADOR GAVIOTA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE ACERG;JUAN SALVADOR GAVIOTA;96;4.54;-76.28;SI;SI;NO
223;276828000778;TRUJILLO;ESCUELA FEDICIO NAVARRETE N. 11;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MANUEL MARIA MALLARINO;FEDICIO NAVARRETE;21;4.23;-76.32;SI;NO;NO
224;276828000158;TRUJILLO;CENTRO EDUCATIVO CENT DOC CAMILO TORRES N. 14;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE MANUEL MARIA MALLARINO;CAMILO TORRES;44;4.26;-76.29;SI;NO;NO
