codigo_dane_fuente,municipio,aro_uesvalle,sitios_identificados,familias_cuantificadas,personas_cuantificadas,agua_condicion,energia_condicion,saneamiento_condicion,detalle_reportado,necesidades_relevantes,estado_cuantificacion,fuentes_usadas
76250,El Dovio,ARO Norte - Cartago,1,,0,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el Coliseo cubierto ciudad del futuro. Por el momento no fue posible censar personas alojadas,,SIN CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76400,La Unión,ARO Norte - Cartago,1,,40,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el ANGELINO GARZON y cuenta con 40 personas alojadas,"Vivienda: 1) Maquinaria amarilla (retroexcavadora con martillo)
2) Volquetas
3) Equipos especializados en demolición
4) Operarios
5) Atención humanitaria a familias damnificadas (Colchonetas, alimentos, carpas)",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76403,La Victoria,ARO Norte - Cartago,1,,16,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el COLISEO EL CIC y cuenta con 16 personas alojadas y,Edificaciones públicas: Un albergue en el centro de integacion ciudadana,CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76497,Obando,ARO Norte - Cartago,1,6,0,ALTERNATIVA / CARROTANQUE,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,"en Puerto molina sirve e albergue la caseta comunal. Llegará desde Acuavalle Carrotanque grande para abastecer la comunida desde el parque principal.

Iglesia cruzada cristiana fuego de Dios Cristianismo Daniel Fernando Motoa Zapata 3217324612 Calle 3- #4-23 barrio el centro 3217324612 danielmotoaf@gmail.com Obando SI","Salud: EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR
TANQUE DE RESERVA DE AGUA | Prioridad general: Mercados, asistencia humanitaria por vivienda / 18 casas las cuales no se pueden habitar . 21 casa adveriadas corregimiento villa rodas.6 corregimiento puerto Molina.4 corregimiento playa Rica. 7 corregimiento Juan Díaz. 18 corregimiento san IsidroCruces afectación de la iglesia.MUNICIPIO SIN AGUA. 
  6 familias refugio. ",CUANTIFICACIÓN EXPLÍCITA PARCIAL,JV / necesidades / servicios esenciales
76606,Restrepo,ARO Centro - Tuluá,1,,13,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el ANTIGUO CENTRO GERIATRICO y cuenta con 13 personas alojadas,"Salud: 10% de afectacion, sólo servicio de urgencia en función, externa cerrado. Sólo hasta noche reactivaron el servicio de energía un poco intermitente al igual que el internet. 
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | Vivienda: 1) Maquinaria amarilla (retroexcavadora con martillo)
2) Volquetas
3) Equipos especializados en demolición
4) Operarios
5) Atención humanitaria a familias damnificadas (Colchonetas, alimentos, carpas) | Servicios públicos: Identificación de causas de la suspension del servicio de agua como prioritario",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76616,Riofrío,ARO Centro - Tuluá,2,,41,AFECTACIÓN MUNICIPAL REPORTADA,AFECTADA / SIN SERVICIO,SIN DATO / EN VERIFICACIÓN,elSEDE LA GRAN COLOMBIA VEREDA PALMASy cuenta con 15 personas alojadas y | la I.E NEMESIO RODRÍGUEZ ESCOBAR FENICIA y cuenta con 26 personas alojadas,"Salud: 40% de afectacion . Daño en techo del area de consulta extera, cuenta con evaluacion preliminar con ingreniero estructural con resultado postivo para la prestacion de todos los servicios, 
Necesidades: sin energia en el puesto de salud en salonica donde cuenta con dos medicos diariamente.
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | Vivienda: 1) Maquinaria amarilla (retroexcavadora con martillo)
2) Volquetas
3) Equipos especializados en demolición
4) Operarios
5) Atención humanitaria a familias damnificadas (Colchonetas, alimentos, carpas, ropa para todas las edades, kits de aseo, etc.) | Edificaciones públicas: INSTITUCIONES EDUCATIVAS 
Prmitivo Crespo: Daño total en los techos sede Melida Cruz corregimiento (destruido el techo)
Sagrado corazon muro caido

Alfredo Garrido:
Carmelita las más afectadas fisuras de paredes de lado a lado ( utorizo reparaciones)
Santa fe corozal: virusas leves estructuras
El segundo bloque de la sede central destruida donde esta la sala de sistemas y baterias.
Policarpa fisuras de lado a lado.

HERNANDO LLORENTE jose maria cordoba
Daños en cielo  falso y agretados pisoso.
Sede Mercedes Abrego cielo falsos

Nemesio Rodriguez 
Afectación de la infraestructura en las sedes Juan del corral :  deteriorada de techos, salon cielo falso se derumbo
Sede de la Gran Colombia: plataforma del agua se daño, laboratorio de quimica ( reparacio)
María inmaculada destruida techos y todo
Marco Fidel Suárez: destruida no se puede dar clases, techos dañados
Laureano Caicedo Trujillo: fracturacion de cañerias y agua se puede reparar alcantarillado
La Antonia Santos: Fisuraa por multiples parwdws ( se puede repara)

 Nemesio Rodríguez : Sala de sistemas pared fracturada ( reparacio",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76622,Roldanillo,ARO Norte - Cartago,1,,46,AFECTACIÓN MUNICIPAL REPORTADA,AFECTADA / SIN SERVICIO,AFECTACIÓN MUNICIPAL REPORTADA,elColiseo Ivan Muñoz villa y cuenta con 46 personas alojadas,"Salud: Planta de energía para Hospital sin fluido eléctrico. 
Combustible para Transporte asistencial
Se cayo el techo y un piso se levanto (Afectacion del 80%)
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR
1 HOSPITAL DE CAMPAÑA
TANQUE DE RESERVA DE AGUA
2 CARPAS GRANDES
LISTADO DE INSUMOS
5 PIPETAS DE OXÍGENO
MEDIDAMENTOS ESENCIALES, SE REQUIERE CUBIR DEMANDA DE MEDICAMENTOS PARA ENFERMEDADES DE BASE, YA QUE LAS FARMACIAS DISPENSADORAS DE LAS EPS QUEDARON DESTRUIDAS.
SE REQUIERE 2 BOLSAS DE SANGRE O+  Y 2 BOLSAS DE SANGRE O - | Vivienda: 1) Maquinaria amarilla (retroexcavadora con martillo)
2) Volquetas
3) Equipos especializados en demolición
4) Operarios
5) Atención humanitaria a familias damnificadas (50 Colchonetas, mantas, agua potable, carpas, ropa para todas las edades, kits de aseo, etc.) Aproximadamente 500 familias requieren apoyo.
6) Alimentos no perecederos, Pediasure
7) Cama base (catre) para adultos mayores
8) Juguetes para niños
9) Materiales de construccion (cemento, arena, grava, varillas, herramientas, tejas, hojas de zinc)
10) Tiendas de campaña
 | Servicios públicos: 1) Recuperación del tubo madre para suministro de agua potable
2) Reestablecimiento del servicio eléctrico (11/ago, se ha recuperado un 50%)
3) Reestablecimiento servicio de internet
4) Saneamiento básico",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76736,Sevilla,ARO Centro - Tuluá,1,,9,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el Coliceo Óscar Jaramillo Zuluaga y cuenta con 9 personas alojadas,"Prioridad general: 
Alimentos no perecederos, agua potable, cobijas, colchonetas, implementos de aseo, tapabocas 
",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76828,Trujillo,ARO Centro - Tuluá,1,,5,SIN DATO ESPECÍFICO,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO / EN VERIFICACIÓN,elCARRETA 19 CALLE 15 # 14-19 y cuenta con 5 personas alojadas,"Vivienda: Carpas
Elementos de primera necesidad
Insumos de cocinas
Materiales de construcción  | Prioridad general: Alimentos, frasadas, colchonetas, carpas, agua, ropa, cocinas y enseres, maquinaria para remocion de escombros.",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76834,Tuluá,ARO Centro - Tuluá,1,,0,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,el Mercado Campesino. Por el momento no fue posible censar personas alojadas,,SIN CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76845,Ulloa,ARO Norte - Cartago,1,,0,SIN DATO ESPECÍFICO,AFECTACIÓN MUNICIPAL REPORTADA,SIN DATO / EN VERIFICACIÓN,elCASETA COMUNAL EMISORA y cuenta con 2 adultos y bebe personas alojadas,"Vivienda: Alimentos
Carpas
Colchonetas
Cobijas
Almohadas
Tejas
Zinc
Eternit
Ladrillos
Cemento

Aprox. 140 familias | Edificaciones públicas: Alcaldía perdió techo de manera parcial y algunos computadores. Se ha restringido el ingreso porque la iglesia tiene colapsada la cúpula.

Iglesia: Cúpula colapsada

Instituciones Educativas: 3 Urbanas, 7 rurales. Averías generales en techos y paredes de salones o aula máxima.

Albergue solo puede recibir 9 personas",CUANTIFICACIÓN DESCRIPTIVA / REVISAR,BQ / necesidades / servicios esenciales
76863,Versalles,ARO Norte - Cartago,2,,8,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,"el SALÓN COMUNAL y cuenta con 1 personas alojadas y | el MARIA ISABEL CRUZ, COLISEO PRINCIPAL y cuenta con 7 personas alojadas",,CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76890,Yotoco,ARO Centro - Tuluá,1,,25,SIN DATO ESPECÍFICO,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,la CR 4 # 4-49 CRUZADA CRISTIANA y cuenta con 25 personas alojadas,,CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
76892,Yumbo,ARO Sur - Cali,1,,20,ALTERNATIVA / CARROTANQUE,SIN DATO ESPECÍFICO,SIN DATO / EN VERIFICACIÓN,Albergue Actual Coliseo Carlos Alberto Bejarano Castillo 20 personas,"Prioridad general: - Estudios técnicos de inspección, patología estructural, verificación y análisis de vulnerabilidad sísmica de las edificación afectadas por el sismo del 10 de agosto de 2026
-- Ayuda Humanitaria de Emergencia
-- Subsidios de Arrendamiento Casas Destruidas o Inhabitables
-- Subsidio de rehabilitacion de vivienda
- Servicio de Carrotanque y Suministro de agua",CUANTIFICACIÓN EXPLÍCITA PARCIAL,JV / necesidades / servicios esenciales
76895,Zarzal,ARO Centro - Tuluá,1,,15,AFECTADA / SIN SERVICIO,SIN DATO ESPECÍFICO,SIN AFECTACIÓN REPORTADA,el DIRECCIÓN LOCAL DE SALUD y cuenta con 15 personas alojadas,"Salud: El 10% de la insitución se encuentra afectada. TANQUE DE RESERVA DE AGUA, INSUMOS MEDICOS,  requiere con urgencias apoyo con acuavalle porque está sin agua potable.
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR
TANQUE DE RESERVA DE AGUA
",CUANTIFICACIÓN EXPLÍCITA,BQ / necesidades / servicios esenciales
